name,province,latitude,longitude
BA ANTW [Borgerhout] AMBUCE,ANT,51.2155158,4.4437875
BA ANTW [Hoboken] AMBUCE,ANT,51.1788314,4.3619482
BA ANTW [Hof Ter Schelde] AC Antwerpen,ANT,51.2328096,4.377237
BA ANTW [Kaai 606] SIHWA,ANT,51.3155156,4.3215063
BA ANTW [Sint Elisabeth] AC Antwerpen,ANT,51.2136226,4.4057177
BA AREN Gemeente Arendonk,ANT,51.319819,5.089912
BA BEER AD BEERSE,ANT,51.3209834,4.8566561
BA BERL Rode Kruis,ANT,51.1140555,4.6472462
BA ESSE Gemeente Essen,ANT,51.4646726,4.4725507
BA HERS Hulshoutse AD,ANT,51.0430641,4.815907
BA KAPE AMBUCE,ANT,51.3120142,4.4243382
BA KONT ACL ACK,ANT,51.1276472,4.4539147
BA RAVE Vlaams Kruis,ANT,51.4095824,4.9965793
BA WIJN AMBUCE,ANT,51.2333921,4.4929328
BA ZAND Vlaams Kruis,ANT,51.2055292,4.6456563
BB BRUX Hôpital Militair KA,,50.9072587,4.3923288
BB FORE Croix Rouge,,50.8155259,4.3416631
BF HULP ACS La Hulpe,Waals-Brabant,50.7305766,4.4948658
BF OTTI Croix Rouge,Waals-Brabant,50.6601956,4.5671377
BG AMAY Croix Rouge,Luik,50.5407363,5.2847964
BG AWAN PARAM,Luik,50.6797955,5.4715356
BG BLEG Croix Rouge,Luik,50.6635369,5.6889139
BG LIEG Croix Rouge,Luik,50.6372979,5.5669785
BG OUPE Croix Rouge,Luik,50.705059,5.6491165
BG SERA Croix Rouge,Luik,50.5894263,5.5428587
BH CHAR CSA Poste Gilly,Henegouwen,50.4179964,4.4745926
BH CHAR R-MED,Henegouwen,50.412614,4.3768883
BH LOUV AS Grande,Henegouwen,50.4698175,4.1279295
BH MONS [Ghlin] Croix Rouge,Henegouwen,50.4910226,3.9336411
BH SGHI Croix Rouge,Henegouwen,50.47713,3.8404351
BL BERI [Paal] Medicare,LIM,51.0371352,5.1781604
BL BORG Ambi Care,LIM,50.8019177,5.3319635
BL LANA Ambi Care,LIM,50.8763364,5.6277626
BL PEER AMBUCE,LIM,51.132399,5.4425231
BN NAMU Croix Rouge,Namen,50.4760028,4.8473646
BO BRAK Vita,OVL,50.797913,3.7598829
BO GAVE [Asper] Snoeck,OVL,50.9304366,3.6447316
BO GENT [Gentbrugge] Life Care,OVL,51.0356587,3.7553518
BO HAMM EVA,OVL,51.0926251,4.1319059
BO LOCH 112 Lochristi,OVL,51.0977887,3.8304982
BO MERE WZC Lemberge,OVL,50.9981308,3.7699959
BV AARS 112 Hageland,VBR,50.98233,4.8234189
BV HALL Rode Kruis,VBR,50.7434628,4.2404099
BV LEUV 112 Hageland,VBR,50.8696549,4.7243436
BV LEUV Rode Kruis,VBR,50.8785355,4.6953981
BV LIED AMBUCE,VBR,50.8680038,4.0983199
BV TIEL 112 Hageland,VBR,50.9061581,4.8857039
BV ZAVE Brussels Airport Company,VBR,50.8798215,4.4727595
BW AVEL [OU] 112 Avelgem,WVL,50.7786794,3.4490966
BW TIEL Rode Kruis,WVL,51.0023637,3.3234085
BX LIBR Croix Rouge,Luxemburg,49.9279133,5.3682538
FA HVP ANTW [Zuid] Antwerpen,ANT,51.2053995,4.3971557
FA HVP BALE Kempen,ANT,51.1709534,5.1755429
FA HVP BOOM Rivierenland,ANT,51.0960533,4.3547325
FA HVP HEIS Rivierenland,ANT,51.0838438,4.7363928
FA HVP HERA Kempen,ANT,51.1873563,4.8403769
FA HVP HOOG Taxandria,ANT,51.3880749,4.7422763
FA HVP KALM Rand,ANT,51.383289,4.478244
FA HVP MALL [Oostmalle] Rand,ANT,51.301117,4.734865
FA HVP MOL_ Kempen,ANT,51.1889959,5.0948491
FA HVP PUUR [Puurs] Rivierenland,ANT,51.0773485,4.2973462
FA HVP TURN Taxandria,ANT,51.3120757,4.9314228
FA HVP WEST Kempen,ANT,51.0825171,4.91256
FA HVP WILL Rivierenland,ANT,51.0668189,4.3598043
FA HVP WUUS Rand,ANT,51.3948812,4.5998185
FB PDS ANDE [PASI Anderlecht] SIAMU,,50.8324872,4.3115682
FB PDS BRUX [PASI Cité] SIAMU,,50.8508852,4.3643289
FB PDS IXEL [PASI Delta] SIAMU,,50.818885,4.40286
FB PDS SCHA [PASI Paul Brien] SIAMU,,50.8674778,4.3773347
FB PDS UCCL [PASI Chênai] SIAMU,,50.7832343,4.3559251
FF PDS NIVE Brabant Wallon,Waals-Brabant,50.5813404,4.3389817
FG PDS ANS_ Liège IILE,Luik,50.6550814,5.5293122
FG PDS EUPE DG,Luik,50.6266486,6.0434467
FG PDS FLEM Liège IILE,Luik,50.5995332,5.4720475
FG PDS HANN Hesbaye,Luik,50.673831,5.091516
FG PDS HERV [Battice] Vesdre Hoëgne Plateau,Luik,50.64775,5.80788
FG PDS KELM DG,Luik,50.7163786,6.0118139
FG PDS LIEG [Caserne] Liège IILE,Luik,50.6445312,5.5869718
FG PDS PEPI Vesdre Hoëgne Plateau,Luik,50.5660359,5.8028664
