name,province,latitude,longitude
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.2313796,4.415252
GZA- ZIEKENHUIZEN,ANT,51.2060094,4.4126797
AZ MONICA,ANT,51.2063667,4.4702018
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.1833252,4.4216539
GZA- ZIEKENHUIZEN,ANT,51.17522349999999,4.4166534
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.2588675,4.4514227
AZ KLINA,ANT,51.299696,4.48903
UNIVERSITAIR ZIEKENHUIS ANTWERPEN,ANT,51.1549925,4.4117088
AZ HERENTALS,ANT,51.1846342,4.8356473
AZ TURNHOUT,ANT,51.3133559,4.941332099999999
AZ VOORKEMPEN,ANT,51.2742932,4.6444488
ZIEKENHUIS GEEL,ANT,51.159778,5.000853999999999
HEILIG HART ZIEKENHUIS ,ANT,51.1324537,4.564133099999999
AZ SINT-MAARTEN,ANT,51.0521063,4.4751994
IMELDA  ZIEKENHUIS,ANT,51.0173887,4.5602291
UNIVERSITAIR ZIEKENHUIS GENT,OVL,51.0257109,3.7281612
AZ SINT-LUCAS,OVL,51.0618537,3.7215097
AZ JAN PALFIJN,OVL,51.0492296,3.7002086
VITAZ,OVL,51.1621435,4.1501763
AZ SINT-BLASIUS,OVL,51.0260712,4.1136746
ONZE-LIEVE-VROUW ZIEKENHUIS,OVL,50.9427051,4.0540559
A.S.Z. - AUTONOME VERZORGINGSINSTELLING,OVL,50.93486979999999,4.0181449
A.S.Z. - AUTONOME VERZORGINGSINSTELLING,OVL,50.770777,3.8772983
AZ GLORIEUX,OVL,50.7535563,3.6075352
AZ SINT-ELISABETH,OVL,50.8642682,3.816776099999999
AZ OUDENAARDE,OVL,50.8426069,3.6014671
AZ ALMA,OVL,51.1908238,3.5328549
AZ SINT-JAN,WVL,51.2201159,3.1934726
AZ ZENO,WVL,51.3277047,3.291228
AZ OOSTENDE ,WVL,51.2189802,2.9333611
